대수,의안구분명,의안구분명,접수건수,처리건수,보류건수
제7대,동인안,동의(승인)안,115,115,0
제7대,결의안,일반,107,107,0
제7대,결의안,결의안소계,107,107,0
제7대,건의안,건의안,23,23,0
제7대,규칙안,규칙안,14,14,0
제7대,중요동의,중요동의,67,67,0
제7대,의원징계,의원징계,1,1,0
제7대,총계,총계,877,877,0
제6대,예산안,예산안,10,10,0
제6대,결산,결산,3,3,0
제6대,법률안,의원발의,416,416,0
제6대,법률안,정부제출,242,242,0
제6대,법률안,법률안소계,658,658,0
제6대,동인안,동의(승인)안,83,83,0
제6대,결의안,일반,190,190,0
제6대,결의안,결의안소계,190,190,0
제6대,건의안,건의안,165,165,0
제6대,규칙안,규칙안,12,12,0
제6대,중요동의,중요동의,77,77,0
제6대,의원징계,의원징계,2,2,0
제6대,총계,총계,1200,1200,0
제5대,헌법개정,헌법개정,1,1,0
제5대,예산안,예산안,3,3,0
제5대,결산,결산,1,1,0
제5대,법률안,의원발의,138,138,0
제5대,법률안,정부제출,159,159,0
제5대,법률안,법률안소계,297,297,0
제5대,동인안,동의(승인)안,40,38,2
제5대,결의안,일반,137,135,2
제5대,결의안,결의안소계,137,135,2
제5대,건의안,건의안,78,76,2
제5대,규칙안,규칙안,7,7,0
제5대,중요동의,중요동의,108,108,0
제5대,총계,총계,672,666,6
제4대,헌법개정,헌법개정,1,1,0
제4대,예산안,예산안,4,4,0
제4대,결산,결산,2,2,0
제4대,법률안,의원발의,123,123,0
제4대,법률안,정부제출,201,201,0
제4대,법률안,법률안소계,324,324,0
제4대,동인안,동의(승인)안,35,35,0
제4대,결의안,일반,111,111,0
제4대,결의안,결의안소계,111,111,0
제4대,건의안,건의안,52,52,0
제4대,중요동의,중요동의,115,115,0
제4대,의원징계,의원징계,4,4,0
제4대,총계,총계,648,648,0
제3대,헌법개정,헌법개정,1,1,0
제3대,예산안,예산안,9,9,0
제3대,결산,결산,5,5,0
제3대,법률안,의원발의,170,170,0
제3대,법률안,정부제출,239,239,0
제3대,법률안,법률안소계,409,409,0
제3대,동인안,동의(승인)안,113,112,1
제3대,결의안,일반,177,177,0
제3대,결의안,결의안소계,177,177,0
제3대,건의안,건의안,165,165,0
제3대,중요동의,중요동의,349,347,2
제3대,의원징계,의원징계,18,18,0
제3대,총계,총계,1246,1243,3
제2대,헌법개정,헌법개정,4,4,0
제2대,예산안,예산안,26,26,0
제2대,결산,결산,2,2,0
제2대,법률안,의원발의,201,201,0
제2대,법률안,정부제출,215,215,0
제2대,법률안,법률안소계,416,416,0
제2대,동인안,동의(승인)안,115,112,3
제2대,결의안,일반,324,320,4
제2대,결의안,결의안소계,324,320,4
제2대,건의안,건의안,153,153,0
제2대,중요동의,중요동의,295,280,15
제2대,의원징계,의원징계,1,1,0
제2대,기타안,기타안,2,0,2
제2대,총계,총계,1338,1314,24
제헌,헌법개정,헌법개정,2,2,0
제헌,예산안,예산안,19,19,0
제헌,법률안,의원발의,103,103,0
제헌,법률안,정부제출,143,143,0
제헌,법률안,법률안소계,246,246,0
제헌,동인안,동의(승인)안,27,27,0
제헌,결의안,일반,93,93,0
제헌,결의안,결의안소계,93,93,0
제헌,건의안,건의안,52,52,0
제헌,중요동의,중요동의,63,63,0
제헌,의원징계,의원징계,5,5,0
제헌,총계,총계,507,507,0

