이름,정당명,선거구,대표 위원회,재선,당선,성별
정동영,더불어민주당,전북 전주시병,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 기획재정위원회, 과학기술정보방송통신위원회",5선,"제15대, 제16대, 제18대, 제20대, 제22대",남
정성국,국민의힘,부산 부산진구갑,교육위원회,초선,제22대,남
정성호,더불어민주당,경기 동두천시양주시연천군갑,재정경제기획위원회,5선,"제17대, 제19대, 제20대, 제21대, 제22대",남
정연욱,국민의힘,부산 수영구,문화체육관광위원회,초선,제22대,남
정일영,더불어민주당,인천 연수구을,국토교통위원회,재선,"제21대, 제22대",남
정점식,국민의힘,경남 통영시고성군,"국회운영위원회, 외교통일위원회, 정보위원회",3선,"제20대, 제21대, 제22대",남
정준호,더불어민주당,전남광주통합특별시 북구갑,"문화체육관광위원회, 예산결산특별위원회",초선,제22대,남
정진욱,더불어민주당,전남광주통합특별시 동구남구갑,산업통상자원중소벤처기업위원회,초선,제22대,남
정청래,더불어민주당,서울 마포구을,외교통일위원회,4선,"제17대, 제19대, 제21대, 제22대",남
정춘생,조국혁신당,비례대표,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 성평등가족위원회, 행정안전위원회",초선,제22대,여
정태호,더불어민주당,서울 관악구을,"예산결산특별위원회, 재정경제기획위원회",재선,"제21대, 제22대",남
정혜경,진보당,비례대표,"기후위기 특별위원회, 기후에너지환경노동위원회, 예산결산특별위원회",초선,제22대,여
정희용,국민의힘,경북 고령군성주군칠곡군,국토교통위원회,재선,"제21대, 제22대",남
조경태,국민의힘,부산 사하구을,과학기술정보방송통신위원회,6선,"제17대, 제18대, 제19대, 제20대, 제21대, 제22대",남
조계원,더불어민주당,전남광주통합특별시 여수시을,문화체육관광위원회,초선,제22대,남
조배숙,국민의힘,비례대표,"예산결산특별위원회, 보건복지위원회",5선,"제16대, 제17대, 제18대, 제20대, 제22대",여
조승래,더불어민주당,대전 유성구갑,재정경제기획위원회,3선,"제20대, 제21대, 제22대",남
조승환,국민의힘,부산 중구영도구,농림축산식품해양수산위원회,초선,제22대,남
조은희,국민의힘,서울 서초구갑,"기후위기 특별위원회, 문화체육관광위원회",재선,"제21대, 제22대",여
조인철,더불어민주당,전남광주통합특별시 서구갑,"국토교통위원회, 예산결산특별위원회",초선,제22대,남
조정식,무소속,경기 시흥시을,,6선,"제17대, 제18대, 제19대, 제20대, 제21대, 제22대",남
조정훈,국민의힘,서울 마포구갑,"국무총리(한성숙) 임명동의에 관한 인사청문특별위원회, 정무위원회",재선,"제21대, 제22대",남
조지연,국민의힘,경북 경산시,"기후위기 특별위원회, 산업통상자원중소벤처기업위원회",초선,제22대,여
주진우,국민의힘,부산 해운대구갑,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 법제사법위원회",초선,제22대,남
주철현,더불어민주당,전남광주통합특별시 여수시갑,농림축산식품해양수산위원회,재선,"제21대, 제22대",남
주호영,국민의힘,대구 수성구갑,행정안전위원회,6선,"제17대, 제18대, 제19대, 제20대, 제21대, 제22대",남
진선미,더불어민주당,서울 강동구갑,문화체육관광위원회,4선,"제19대, 제20대, 제21대, 제22대",여
진성준,더불어민주당,서울 강서구을,국방위원회,3선,"제19대, 제21대, 제22대",남
진종오,국민의힘,비례대표,행정안전위원회,초선,제22대,남
차규근,조국혁신당,비례대표,산업통상자원중소벤처기업위원회,초선,제22대,남
차지호,더불어민주당,경기 오산시,"기후위기 특별위원회, 외교통일위원회",초선,제22대,남
채현일,더불어민주당,서울 영등포구갑,행정안전위원회,초선,제22대,남
천준호,더불어민주당,서울 강북구갑,"국방위원회, 국회운영위원회",재선,"제21대, 제22대",남
천하람,개혁신당,비례대표,"국방위원회, 국회운영위원회",초선,제22대,남
최기상,더불어민주당,서울 금천구,"예산결산특별위원회, 정무위원회",재선,"제21대, 제22대",남
최민희,더불어민주당,경기 남양주시갑,문화체육관광위원회,재선,"제19대, 제22대",여
최보윤,국민의힘,비례대표,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 보건복지위원회",초선,제22대,여
최수진,국민의힘,비례대표,"국회운영위원회, 산업통상자원중소벤처기업위원회",초선,제22대,여
최은석,국민의힘,대구 동구군위군갑,"국회운영위원회, 정무위원회",초선,제22대,남
최혁진,무소속,비례대표,"국무총리(한성숙) 임명동의에 관한 인사청문특별위원회, 과학기술정보방송통신위원회",초선,제22대,남
최형두,국민의힘,경남 창원시마산합포구,과학기술정보방송통신위원회,재선,"제21대, 제22대",남
한기호,국민의힘,강원 춘천시철원군화천군양구군을,"국방위원회, 정보위원회",4선,"제18대, 제19대, 제21대, 제22대",남
한동훈,무소속,부산 북구갑,"예산결산특별위원회, 외교통일위원회",초선,제22대,남
한민수,더불어민주당,서울 강북구을,"기획재정위원회, 정무위원회",초선,제22대,남
한병도,더불어민주당,전북 익산시을 ,"교육위원회, 국회운영위원회, 정보위원회",3선,"제17대, 제21대, 제22대",남
한정애,더불어민주당,서울 강서구병,외교통일위원회,4선,"제19대, 제20대, 제21대, 제22대",여
한준호,더불어민주당,경기 고양시을,과학기술정보방송통신위원회,재선,"제21대, 제22대",남
한지아,국민의힘,비례대표,보건복지위원회,초선,제22대,여
한창민,사회민주당,비례대표,정무위원회,초선,제22대,남
허성무,더불어민주당,경남 창원시성산구,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",초선,제22대,남
허영,더불어민주당,강원 춘천시철원군화천군양구군갑,"국토교통위원회, 예산결산특별위원회",재선,"제21대, 제22대",남
허종식,더불어민주당,인천 동구미추홀구갑,"보건복지위원회, 예산결산특별위원회",재선,"제21대, 제22대",남
홍기원,더불어민주당,경기 평택시갑,외교통일위원회,재선,"제21대, 제22대",남
황명선,더불어민주당,충남 논산시계룡시금산군,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국방위원회",초선,제22대,남
황운하,조국혁신당,비례대표,국토교통위원회,재선,"제21대, 제22대",남
황정아,더불어민주당,대전 유성구을,과학기술정보방송통신위원회,초선,제22대,여
황희,더불어민주당,서울 양천구갑,국토교통위원회,3선,"제20대, 제21대, 제22대",남
