이름,정당명,선거구,대표 위원회,재선,당선,성별
박은정,조국혁신당,비례대표,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 법제사법위원회",초선,제22대,여
박정,더불어민주당,경기 파주시을,기후에너지환경노동위원회,3선,"제20대, 제21대, 제22대",남
박정하,국민의힘,강원 원주시갑,"과학기술정보방송통신위원회, 예산결산특별위원회",재선,"제21대, 제22대",남
박정현,더불어민주당,대전 대덕구,"기후위기 특별위원회, 국회운영위원회, 외교통일위원회",초선,제22대,여
박정훈,국민의힘,서울 송파구갑,교육위원회,초선,제22대,남
박주민,더불어민주당,서울 은평구갑,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 행정안전위원회",3선,"제20대, 제21대, 제22대",남
박준태,국민의힘,비례대표,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 정무위원회",초선,제22대,남
박지원,더불어민주당,전북 군산시김제시부안군을,"보건복지위원회, 예산결산특별위원회",초선,제22대,남
박지원,더불어민주당,전남광주통합특별시 해남군완도군진도군,"법제사법위원회, 정보위원회",5선,"제14대, 제18대, 제19대, 제20대, 제22대",남
박지혜,더불어민주당,경기 의정부시갑,"기후위기 특별위원회, 기후에너지환경노동위원회, 성평등가족위원회",초선,제22대,여
박충권,국민의힘,비례대표,"국회운영위원회, 외교통일위원회",초선,제22대,남
박해철,더불어민주당,경기 안산시병,기후에너지환경노동위원회,초선,제22대,남
박형수,국민의힘,경북 의성군청송군영덕군울진군,법제사법위원회,재선,"제21대, 제22대",남
박홍근,더불어민주당,서울 중랑구을,행정안전위원회,4선,"제19대, 제20대, 제21대, 제22대",남
박홍배,더불어민주당,비례대표,"연금개혁 특별위원회, 정무위원회",초선,제22대,남
박희승,더불어민주당,전북 남원시장수군임실군순창군,산업통상자원중소벤처기업위원회,초선,제22대,남
배준영,국민의힘,인천 중구강화군옹진군,"예산결산특별위원회, 재정경제기획위원회",재선,"제21대, 제22대",남
배현진,국민의힘,서울 송파구을,문화체육관광위원회,재선,"제21대, 제22대",여
백선희,조국혁신당,비례대표,"보건복지위원회, 예산결산특별위원회",초선,제22대,여
백승아,더불어민주당,비례대표,"국무총리(한성숙) 임명동의에 관한 인사청문특별위원회, 교육위원회",초선,제22대,여
백종헌,국민의힘,부산 금정구,보건복지위원회,재선,"제21대, 제22대",남
백혜련,더불어민주당,경기 수원시을,"국무총리(한성숙) 임명동의에 관한 인사청문특별위원회, 산업통상자원중소벤처기업위원회, 성평등가족위원회, 정보위원회",3선,"제20대, 제21대, 제22대",여
복기왕,더불어민주당,충남 아산시갑,국토교통위원회,재선,"제17대, 제22대",남
부승찬,더불어민주당,경기 용인시병,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국토교통위원회",초선,제22대,남
서명옥,국민의힘,서울 강남구갑,행정안전위원회,초선,제22대,여
서미화,더불어민주당,비례대표,"국회운영위원회, 보건복지위원회",초선,제22대,여
서범수,국민의힘,울산 울주군,"기후위기 특별위원회, 제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 교육위원회",재선,"제21대, 제22대",남
서삼석,더불어민주당,전남광주통합특별시 영암군무안군신안군,농림축산식품해양수산위원회,3선,"제20대, 제21대, 제22대",남
서영교,더불어민주당,서울 중랑구갑,법제사법위원회,4선,"제19대, 제20대, 제21대, 제22대",여
서영석,더불어민주당,경기 부천시갑,보건복지위원회,재선,"제21대, 제22대",남
서왕진,조국혁신당,비례대표,"기후위기 특별위원회, 기후에너지환경노동위원회",초선,제22대,남
서일준,국민의힘,경남 거제시,정무위원회,재선,"제21대, 제22대",남
서지영,국민의힘,부산 동래구,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",초선,제22대,여
서천호,국민의힘,경남 사천시남해군하동군,"과학기술정보방송통신위원회, 정보위원회",초선,제22대,남
성일종,국민의힘,충남 서산시태안군,국방위원회,3선,"제20대, 제21대, 제22대",남
소병훈,더불어민주당,경기 광주시갑,보건복지위원회,3선,"제20대, 제21대, 제22대",남
손명수,더불어민주당,경기 용인시을,정무위원회,초선,제22대,남
손솔,진보당,비례대표,"법제사법위원회, 성평등가족위원회",초선,제22대,여
송기헌,더불어민주당,강원 원주시을,과학기술정보방송통신위원회,3선,"제20대, 제21대, 제22대",남
송석준,국민의힘,경기 이천시,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 외교통일위원회",3선,"제20대, 제21대, 제22대",남
송언석,국민의힘,경북 김천시,"예산결산특별위원회, 정무위원회",3선,"제20대, 제21대, 제22대",남
송영길,더불어민주당,인천 연수구갑,국방위원회,6선,"제16대, 제17대, 제18대, 제20대, 제21대, 제22대",남
송옥주,더불어민주당,경기 화성시갑,농림축산식품해양수산위원회,3선,"제20대, 제21대, 제22대",여
송재봉,더불어민주당,충북 청주시청원구,"기후위기 특별위원회, 산업통상자원중소벤처기업위원회, 예산결산특별위원회",초선,제22대,남
신동욱,국민의힘,서울 서초구을,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 정무위원회",초선,제22대,남
신성범,국민의힘,경남 산청군함양군거창군합천군,국토교통위원회,3선,"제18대, 제19대, 제22대",남
신장식,조국혁신당,비례대표,농림축산식품해양수산위원회,초선,제22대,남
신정훈,더불어민주당,전남광주통합특별시 나주시화순군,재정경제기획위원회,3선,"제19대, 제21대, 제22대",남
안규백,더불어민주당,서울 동대문구갑,교육위원회,5선,"제18대, 제19대, 제20대, 제21대, 제22대",남
안도걸,더불어민주당,전남광주통합특별시 동구남구을,"국회운영위원회, 예산결산특별위원회, 재정경제기획위원회",초선,제22대,남
안상훈,국민의힘,비례대표,"연금개혁 특별위원회, 재정경제기획위원회",초선,제22대,남
안철수,국민의힘,경기 성남시분당구갑,외교통일위원회,4선,"제19대, 제20대, 제21대, 제22대",남
안태준,더불어민주당,경기 광주시을,국토교통위원회,초선,제22대,남
안호영,더불어민주당,전북 완주군진안군무주군,기후에너지환경노동위원회,3선,"제20대, 제21대, 제22대",남
양부남,더불어민주당,전남광주통합특별시 서구을,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 행정안전위원회",초선,제22대,남
어기구,더불어민주당,충남 당진시,"예산결산특별위원회, 재정경제기획위원회",3선,"제20대, 제21대, 제22대",남
엄태영,국민의힘,충북 제천시단양군,"국토교통위원회, 예산결산특별위원회",재선,"제21대, 제22대",남
염태영,더불어민주당,경기 수원시무,"기후위기 특별위원회, 국토교통위원회",초선,제22대,남
오기형,더불어민주당,서울 도봉구을,"연금개혁 특별위원회, 재정경제기획위원회",재선,"제21대, 제22대",남
오세희,더불어민주당,비례대표,산업통상자원중소벤처기업위원회,초선,제22대,여
용혜인,기본소득당,비례대표,행정안전위원회,재선,"제21대, 제22대",여
우원식,더불어민주당,서울 노원구갑,외교통일위원회,5선,"제17대, 제19대, 제20대, 제21대, 제22대",남
우재준,국민의힘,대구 북구갑,"연금개혁 특별위원회, 산업통상자원중소벤처기업위원회",초선,제22대,남
유동수,더불어민주당,인천 계양구갑,정무위원회,3선,"제20대, 제21대, 제22대",남
유상범,국민의힘,강원 홍천군횡성군영월군평창군,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국토교통위원회, 예산결산특별위원회",재선,"제21대, 제22대",남
유영하,국민의힘,대구 달서구갑,"국무총리(한성숙) 임명동의에 관한 인사청문특별위원회, 국방위원회, 정보위원회",초선,제22대,남
유용원,국민의힘,비례대표,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국방위원회",초선,제22대,남
유의동,국민의힘,경기 평택시을,국토교통위원회,4선,"제19대, 제20대, 제21대, 제22대",남
윤건영,더불어민주당,서울 구로구을,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 정보위원회, 행정안전위원회",재선,"제21대, 제22대",남
윤상현,국민의힘,인천 동구미추홀구을,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 법제사법위원회",5선,"제18대, 제19대, 제20대, 제21대, 제22대",남
윤영석,국민의힘,경남 양산시갑,"연금개혁 특별위원회, 재정경제기획위원회",4선,"제19대, 제20대, 제21대, 제22대",남
윤용근,국민의힘,충남 공주시부여군청양군,"국회운영위원회, 문화체육관광위원회, 예산결산특별위원회",초선,제22대,남
윤재옥,국민의힘,대구 달서구을,"기후에너지환경노동위원회, 예산결산특별위원회",4선,"제19대, 제20대, 제21대, 제22대",남
윤종군,더불어민주당,경기 안성시,국토교통위원회,초선,제22대,남
윤종오,진보당,울산 북구,"국토교통위원회, 국회운영위원회",재선,"제20대, 제22대",남
윤준병,더불어민주당,전북 정읍시고창군,농림축산식품해양수산위원회,재선,"제21대, 제22대",남
윤한홍,국민의힘,경남 창원시마산회원구,산업통상자원중소벤처기업위원회,3선,"제20대, 제21대, 제22대",남
윤호중,더불어민주당,경기 구리시,교육위원회,5선,"제17대, 제19대, 제20대, 제21대, 제22대",남
윤후덕,더불어민주당,경기 파주시갑,재정경제기획위원회,4선,"제19대, 제20대, 제21대, 제22대",남
이강일,더불어민주당,충북 청주시상당구,정무위원회,초선,제22대,남
이개호,더불어민주당,전남광주통합특별시 담양군함평군영광군장성군,농림축산식품해양수산위원회,4선,"제19대, 제20대, 제21대, 제22대",남
이건태,더불어민주당,경기 부천시병,"기후에너지환경노동위원회, 예산결산특별위원회",초선,제22대,남
이광재,더불어민주당,경기 하남시갑,"예산결산특별위원회, 재정경제기획위원회",4선,"제17대, 제18대, 제21대, 제22대",남
이광희,더불어민주당,충북 청주시서원구,"성평등가족위원회, 행정안전위원회",초선,제22대,남
이기헌,더불어민주당,경기 고양시병,"제9회전국동시지방선거투표용지부족사태등국민참정권침해진상규명및선거관리개혁을위한국정조사특별위원회, 예산결산특별위원회, 외교통일위원회, 정보위원회",초선,제22대,남
이달희,국민의힘,비례대표,보건복지위원회,초선,제22대,여
이만희,국민의힘,경북 영천시청도군,보건복지위원회,3선,"제20대, 제21대, 제22대",남
